"Word"	"Pinyin"	"Level"	"First Translation"	"Other Translations"	"Parent"
"拼命"	"pīnmìng"	"6"	"to do one's utmost"	"with all one's might, at all costs, (to work or fight) as if one's life depends on it"	""
"貧"	"pin2"	"6"	"poor"	"inadequate, deficient, garrulous"	"貧窮 (pínqióng)"
"貧窮"	"pínqióng"	"6"	"poor"	"impoverished"	""
"品德"	"pĭndé"	"6"	"moral character"	""	""
"聘"	"pin4"	"6"	"to engage (a teacher etc)"	"to hire, to betroth, betrothal gift, to get married (of woman)"	"聘請 (pìnqĭng)"
"聘請"	"pìnqĭng"	"6"	"to engage"	"to hire (a lawyer etc)"	""
"憑"	"píng"	"6"	"to lean against"	"to rely on, on the basis of, no matter (how, what etc), proof"	""
"衡"	"heng2"	"6"	"to weigh"	"weight, measure"	"平衡 (pínghéng)"
"平衡"	"pínghéng"	"6"	"balance"	"equilibrium"	""
"平靜"	"píngjìng"	"6"	"tranquil"	"undisturbed, serene"	""
"均"	"jūn"	"6"	"equal"	"even, all, uniform"	"平均 (píngjūn)"
"平均"	"píngjūn"	"6"	"average"	"on average, evenly, in equal proportions"	""
"婆婆"	"pópo"	"6"	"husband's mother"	"mother-in-law, grandma"	""
"頗"	"pŏ"	"6"	"surname Po"	"Taiwan pr. [Po3], rather, quite, considerably, oblique, inclined, slanting, Taiwan pr. [po3]"	""
"破爛"	"pòlàn"	"6"	"worn-out"	"rotten, dilapidated, tattered, ragged, rubbish, junk"	""
"破裂"	"pòliè"	"6"	"to rupture"	"to fracture, to break down, (linguistics) plosion"	""
"迫"	"po4"	"6"	"variant of 迫[po4]"	"to persecute, to oppress, embarrassed, to force, to compel, to approach or go towards, urgent, pressing"	"迫切 (pòqiè)"
"迫切"	"pòqiè"	"6"	"urgent"	"pressing"	""
"撲"	"pū"	"6"	"to throw oneself at"	"to pounce on, to devote one's energies, to flap, to flutter, to dab, to pat, to bend over"	""
"撲滅"	"pūmiè"	"6"	"to eradicate"	"to extinguish"	""
"鋪"	"pū"	"6"	"to spread"	"to display, to set up, (old) holder for door-knocker, plank bed, place to sleep, shop, store, (old) relay station"	""
"普及"	"pŭjí"	"6"	"to spread extensively"	"to generalize, widespread, popular, universal, ubiquitous, pervasive"	""
"普通"	"pŭtōng"	"6"	"common"	"ordinary, general, average"	""
"普通話"	"pŭtōnghuà"	"6"	"Mandarin (common language)"	"Putonghua (common speech of the Chinese language), ordinary speech"	""
"瀑"	"bao4 pu4"	"6"	"shower (rain)"	"waterfall"	"瀑布 (pùbù)"
"瀑布"	"pùbù"	"6"	"waterfall"	""	""
"欺騙"	"qīpiàn"	"6"	"to deceive"	"to cheat"	""
"妻子"	"qīzĭ"	"6"	"wife and children"	"wife, CL:個|个[ge4]"	""
"期限"	"qíxiàn"	"6"	"time limit"	"deadline, allotted time"	""
"餘"	"yú"	"6"	"extra"	"surplus, remaining, remainder after division, (following numerical value) or more, in excess of (some number), residue (math.), after, I, me, surname Yu, variant of 餘|余[yu2], remainder"	"其餘 (qíyú)"
"其餘"	"qíyú"	"6"	"the rest"	"the others, remaining, remainder, apart from them"	""
"棋"	"qí"	"6"	"variant of 棋[qi2]"	""	""
"齊全"	"qíquán"	"6"	"complete"	"comprehensive"	""
"袍"	"pao2"	"6"	"gown (lined)"	""	"旗袍 (qípáo)"
"旗袍"	"qípáo"	"6"	"Chinese-style dress"	"cheongsam"	""
"旗子"	"qízi"	"6"	"flag"	"banner, CL:面[mian4]"	""
"歧"	"qi2"	"6"	"divergent"	"side road"	"歧視 (qíshì)"
"歧視"	"qíshì"	"6"	"to discriminate against"	"discrimination"	""
"起初"	"qĭchū"	"6"	"originally"	"at first, at the outset"	""
"起火"	"qĭhuŏ"	"6"	"to catch fire"	"to cook, to get angry"	""
"企圖"	"qìtú"	"6"	"to attempt"	"to try, attempt, CL:種|种[zhong3]"	""
"汽油"	"qìyóu"	"6"	"gasoline"	""	""
"器材"	"qìcái"	"6"	"equipment"	"material"	""
"器官"	"qìguān"	"6"	"organ (part of body tissue)"	"apparatus"	""
"氛"	"fen1"	"6"	"miasma"	"vapor"	"氣氛 (qìfēn)"
"氣氛"	"qìfēn"	"6"	"atmosphere"	"mood"	""
"氣憤"	"qìfèn"	"6"	"indignant"	"furious"	""
"氣候"	"qìhòu"	"6"	"climate"	"atmosphere, situation, CL:種|种[zhong3]"	""
"氣味"	"qìwèi"	"6"	"odor"	"scent"	""
"氣息"	"qìxí"	"6"	"breath"	"smell, odor, flavor"	""
"氣象"	"qìxiàng"	"6"	"meteorological feature"	"CL:個|个[ge4], meteorology, atmosphere, ambience, scene"	""
"千萬"	"qiānwàn"	"6"	"ten million"	"countless, many, one must by all means"	""
"牽"	"qiān"	"6"	"to lead along"	"to pull (an animal on a tether), (bound form) to involve, to draw in"	""
"遷"	"qiān"	"6"	"to move"	"to shift, to change (a position or location etc), to promote"	""
"簽訂"	"qiāndìng"	"6"	"to agree to and sign (a treaty etc)"	""	""
"簽約"	"qiānyuē"	"6"	"to sign a contract or agreement"	""	""
"簽字"	"qiānzì"	"6"	"to sign (one's name)"	"signature"	""
"前方"	"qiánfāng"	"6"	"ahead"	"the front"	""
"前進"	"qiánjìn"	"6"	"to go forward"	"to forge ahead, to advance, onward"	""
"前頭"	"qiántou"	"6"	"in front"	"at the head, ahead, above"	""
"前途"	"qiántú"	"6"	"prospects"	"future outlook, journey"	""
"前往"	"qiánwăng"	"6"	"to leave for"	"to proceed towards, to go"	""
"前院"	"qiányuàn"	"6"	"front courtyard"	"front yard"	""
"欠"	"qiàn"	"6"	"deficient"	"to owe, to lack, yawn"	""
"歉意"	"qiànyì"	"6"	"apology"	"regret"	""
"槍"	"qiāng"	"6"	"surname Qiang"	"gun, firearm, rifle, spear, thing with shape or function similar to a gun, CL:支[zhi1],把[ba3],桿|杆[gan3],條|条[tiao2],枝[zhi1], to substitute for another person in a test, to knock, classifier for rifle shots"	""
"強大"	"qiángdà"	"6"	"large"	"formidable, powerful, strong"	""
"強度"	"qiángdù"	"6"	"strength"	"intensity, CL:個|个[ge4]"	""
"強烈"	"qiángliè"	"6"	"intense"	"(violently) strong"	""
"強人"	"qiángrén"	"6"	""	""	""
"牆壁"	"qiángbì"	"6"	"wall"	""	""
"強迫"	"qiăngpò"	"6"	"to compel"	"to force"	""
"搶救"	"qiăngjiù"	"6"	"to rescue"	""	""
"敲"	"qiāo"	"6"	"to hit"	"to strike, to tap, to rap, to knock, to rip sb off, to overcharge"	""
"瞧"	"qiáo"	"6"	"to look at"	"to see, to see (a doctor), to visit"	""
"巧妙"	"qiăomiào"	"6"	"ingenious"	"clever, ingenuity, artifice"	""
"悄"	"qiao1 qiao3"	"6"	"see 悄悄[qiao1 qiao1]"	"quiet, sad"	"悄悄 (qiăoqiăo)"
"悄悄"	"qiăoqiăo"	"6"	"quietly"	"secretly, stealthily, quiet, worried, Taiwan pr. [qiao3 qiao3]"	""
"親愛"	"qīnài"	"6"	"dear"	"beloved, darling"	""
"親口"	"qīnkŏu"	"6"	"one's own mouth"	"fig. in one's own words, to say sth personally"	""
"戚"	"qi1"	"6"	"variant of 慼|戚[qi1]"	"surname Qi, relative, parent, grief, sorrow, battle-axe"	"親戚 (qīnqī)"
"親戚"	"qīnqī"	"6"	"a relative (i.e. family relation)"	"CL:門|门[men2],個|个[ge4],位[wei4]"	""
"親人"	"qīnrén"	"6"	"one's close relatives"	""	""
"侵"	"qin1"	"6"	"to invade"	"to encroach, to infringe, to approach"	"侵害 (qīnhài)"
"侵害"	"qīnhài"	"6"	"to encroach on"	"to infringe on"	""
"侵入"	"qīnrù"	"6"	"to make (military) incursions"	"to invade, to intrude into, to trespass, to gain unauthorized access (computing)"	""
"勤"	"qin2"	"6"	"variant of 勤[qin2]"	"industrious, solicitous"	"勤勞 (qínláo)"
"勤勞"	"qínláo"	"6"	"hardworking"	"industrious, diligent"	""
"寢"	"qin3"	"6"	"to lie down"	""	"寢室 (qǐnshì)"
"寢室"	"qǐnshì"	"6"	"bedroom"	"dormitory, CL:間|间[jian1]"	""
"清晨"	"qīngchén"	"6"	"early morning"	""	""
"清除"	"qīngchú"	"6"	"to clear away"	"to eliminate, to get rid of"	""
"清淡"	"qīngdàn"	"6"	"light (of food, not greasy or strongly flavored)"	"insipid, slack (sales)"	""
"晰"	"xi1"	"6"	"white"	"variant of 晰[xi1]"	"清晰 (qīngxī)"
"清晰"	"qīngxī"	"6"	"clear"	"distinct"	""
"清醒"	"qīngxĭng"	"6"	"clear-headed"	"sober, awake"	""
"輕傷"	"qīngshāng"	"6"	"lightly wounded"	"minor injuries"	""
"輕視"	"qīngshì"	"6"	"contempt"	"contemptuous, to despise, to scorn, scornful"	""
"傾"	"qing1"	"6"	"to overturn"	"to collapse, to lean, to tend, to incline, to pour out"	"傾向 (qīngxiàng)"
"傾向"	"qīngxiàng"	"6"	"trend"	"tendency, orientation"	""
"情書"	"qíngshū"	"6"	"love letter"	""	""
"緒"	"xu4"	"6"	"beginnings"	"clues, mental state, thread"	"情緒 (qíngxù)"
"情緒"	"qíngxù"	"6"	"mood"	"state of mind, moodiness, CL:種|种[zhong3]"	""
"秋季"	"qiūjì"	"6"	"autumn"	"fall"	""
"求婚"	"qiúhūn"	"6"	"to propose marriage"	""	""
"球隊"	"qiúduì"	"6"	"sports team (basketball, soccer, football etc)"	""	""
"球鞋"	"qiúxié"	"6"	"athletic shoes"	""	""
"曲折"	"qūzhé"	"6"	"winding"	"(fig.) complicated"	""
"區別"	"qūbié"	"6"	"difference"	"to distinguish, to discriminate, to make a distinction, CL:個|个[ge4]"	""
"區域"	"qūyù"	"6"	"area"	"region, district"	""
"取得"	"qŭdé"	"6"	"to acquire"	"to get, to obtain"	""
"取笑"	"qŭxiào"	"6"	"to tease"	"to make fun of"	""
"取消"	"qŭxiāo"	"6"	"to cancel"	"cancellation"	""
"娶"	"qŭ"	"6"	"to take a wife"	"to marry (a woman)"	""
"圈"	"quān"	"6"	"to confine"	"to lock up, to pen in, pen (pig), a fold, circle, ring, loop, classifier for loops, orbits, laps of race etc, CL:個|个[ge4], to surround, to circle"	""
"全家"	"quánjiā"	"6"	"whole family"	""	""
"全面"	"quánmiàn"	"6"	"all-around"	"comprehensive, total, overall"	""
"全體"	"quántĭ"	"6"	"all"	"entire"	""
"拳"	"quán"	"6"	"fist"	"boxing"	"拳頭 (quántou)"
"拳頭"	"quántou"	"6"	"fist"	"clenched fist, CL:個|个[ge4], competitive (product)"	""
"權"	"quan2"	"6"	"surname Quan"	"authority, power, right, (literary) to weigh, expedient, temporary"	"權利 (quánlì)"
"權利"	"quánlì"	"6"	"power"	"right, privilege"	""
"勸"	"quàn"	"6"	"to advise"	"to urge, to try to persuade, to exhort, to console, to soothe"	""
"乏"	"fa2"	"6"	"short of"	"tired"	"缺乏 (quēfá)"
"缺乏"	"quēfá"	"6"	"to lack"	"to be short of, lack, shortage"	""
"缺少"	"quēshăo"	"6"	"lack"	"shortage of, shortfall, to be short (of), to lack"	""
"缺席"	"quēxí"	"6"	"absence"	"absent"	""
"確實"	"quèshí"	"6"	"indeed"	"really, reliable, real, true"	""
"群"	"qún"	"6"	"variant of 群[qun2]"	"group, crowd, flock, herd, pack etc"	""
"群眾"	"qúnzhòng"	"6"	"mass"	"multitude, the masses"	""
"然而"	"ránér"	"6"	"however"	"yet, but"	""
"燃料"	"ránliào"	"6"	"fuel"	""	""
"燃燒"	"ránshāo"	"6"	"to ignite"	"to combust, to burn, combustion, flaming"	""
"讓步"	"ràngbù"	"6"	"to concede"	"to give in, to yield, a concession, (linguistics) concessive"	""
"繞"	"rào"	"6"	"to wind"	"to coil (thread), to rotate around, to spiral, to move around, to go round (an obstacle), to by-pass, to make a detour, to confuse, to perplex"	""
"惹"	"rě"	"6"	"to provoke"	"to irritate, to vex, to stir up, to anger, to attract (troubles), to cause (problems)"	""
"熱愛"	"rèài"	"6"	"to love ardently"	"to adore"	""
"熱烈"	"rèliè"	"6"	"enthusiastic"	"ardent, warm"	""
"熱門"	"rèmén"	"6"	"popular"	"hot, in vogue"	""
"熱情"	"rèqíng"	"6"	"cordial"	"enthusiastic, passion, passionate, passionately"	""
"熱心"	"rèxīn"	"6"	"enthusiasm"	"zeal, zealous, zest, enthusiastic, ardent, warmhearted"	""
"人才"	"réncái"	"6"	"talent"	"talented person, looks, attractive looks"	""
"人格"	"réngé"	"6"	"personality"	"integrity, dignity"	""
"人工"	"réngōng"	"6"	"artificial"	"manpower, manual work"	""
"人力"	"rénlì"	"6"	"manpower"	"labor power"	""
"人情味"	"rénqíngwèi"	"6"	"human warmth"	"friendliness, human touch"	""
"人權"	"rénquán"	"6"	"human rights"	""	""
"人生"	"rénshēng"	"6"	"life (one's time on earth)"	""	""
"人事"	"rénshì"	"6"	"personnel"	"human resources, human affairs, ways of the world, (euphemism) sexuality, the facts of life"	""
"人體"	"réntǐ"	"6"	"human body"	""	""
"人心"	"rénxīn"	"6"	"popular feeling"	"the will of the people"	""
"人行道"	"rénxíngdào"	"6"	"sidewalk"	""	""
"人員"	"rényuán"	"6"	"staff"	"crew, personnel, CL:個|个[ge4]"	""
"忍不住"	"rěnbùzhù"	"6"	"cannot help"	"unable to bear"	""
"忍受"	"rěnshòu"	"6"	"to bear"	"to endure"	""
"忍心"	"rěnxīn"	"6"	"to have the heart to do sth"	"to steel oneself to a task"	""
"任性"	"rènxìng"	"6"	"willful"	"headstrong, unruly"	""
"日常"	"rìcháng"	"6"	"daily"	"everyday"	""
"日後"	"rìhòu"	"6"	"sometime"	"someday (in the future)"	""
"日用品"	"rìyòngpĭn"	"6"	"articles for daily use"	"CL:件[jian4],個|个[ge4]"	""
"融化"	"rónghuà"	"6"	"to melt"	"to thaw, to dissolve, to blend into, to combine, to fuse"	""
"榮幸"	"róngxìng"	"6"	"honored (to have the privilege of ...)"	""	""
"如果說"	"rúguŏshuō"	"6"	""	""	""
"如何"	"rúhé"	"6"	"how"	"what way, what"	""
"如今"	"rújīn"	"6"	"nowadays"	"now"	""
"如同"	"rútóng"	"6"	"like"	"as"	""
"入境"	"rùjìng"	"6"	"to enter a country"	"immigration"	""
"入口"	"rùkŏu"	"6"	"entrance"	"to import"	""
"入學"	"rùxué"	"6"	"to enter a school or college"	"to go to school for the first time as a child"	""
"軟"	"ruăn"	"6"	"soft"	"flexible"	""
"塞"	"sāi"	"6"	"Serbia"	"Serbian, abbr. for 塞爾維亞|塞尔维亚[Sai1 er3 wei2 ya4], to stop up, to squeeze in, to stuff, cork, stopper, strategic pass, tactical border position, to stop up, to stuff, to cope with"	""
"賽跑"	"sàipăo"	"6"	"race (running)"	"to race (running)"	""
"三角形"	"sānjiăoxíng"	"6"	"triangle"	""	""
"喪"	"sang1 sang4"	"6"	"mourning"	"funeral, (old) corpse, to lose sth abstract but important (courage, authority, one's life etc), to be bereaved of (one's spouse etc), to die, disappointed, discouraged"	"喪失 (sàngshī)"
"喪失"	"sàngshī"	"6"	"to lose"	"to forfeit"	""
"艘"	"sāo"	"6"	"classifier for ships"	"Taiwan pr. [sao1]"	""
"色彩"	"sècăi"	"6"	"tint"	"coloring, coloration, (fig.) flavor, character"	""
"色情"	"sèqíng"	"6"	"erotic"	"pornographic"	""
"漠"	"mo4"	"6"	"desert"	"unconcerned"	"沙漠 (shāmò)"
"沙漠"	"shāmò"	"6"	"desert"	"CL:個|个[ge4]"	""
"沙灘"	"shātān"	"6"	"beach"	"sandy shore, CL:片[pian4]"	""
"沙子"	"shāzi"	"6"	"sand"	"grit, CL:粒[li4],把[ba3]"	""
"殺價"	"shājià"	"6"	"to beat down the price"	"to haggle, to slash one's prices"	""
"傻"	"shă"	"6"	"foolish"	""	""
"曬"	"shai4"	"6"	"(of the sun) to shine on"	"to bask in (the sunshine), to dry (clothes, grain etc) in the sun, (fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from ""share""), (coll.) to give the cold shoulder to"	"曬太陽 (shàitàiyáng)"
"曬太陽"	"shàitàiyáng"	"6"	""	""	""
"山地"	"shāndì"	"6"	"mountainous region"	"hilly area, hilly country"	""
"閃"	"shăn"	"6"	"surname Shan"	"to dodge, to duck out of the way, to beat it, shaken (by a fall), to sprain, to pull a muscle, lightning, spark, a flash, to flash (across one's mind), to leave behind, (Internet slang) (of a display of affection) ""dazzlingly"" saccharine"	""
"善於"	"shànyú"	"6"	"to be good at"	"to be adept at"	""
"扇子"	"shànzi"	"6"	"fan"	"CL:把[ba3]"	""
"傷腦筋"	"shāngnăojīn"	"6"	"to be a real headache"	"to find sth a real headache, to beat one's brains"	""
"商標"	"shāngbiāo"	"6"	"trademark"	"logo"	""
"商場"	"shāngchăng"	"6"	"shopping mall"	"shopping center, department store, emporium, CL:家[jia1], the business world"	""
"商量"	"shāngliang"	"6"	"to consult"	"to talk over, to discuss"	""
"上級"	"shàngjí"	"6"	"higher authorities"	"superiors, CL:個|个[ge4]"	""
"上升"	"shàngshēng"	"6"	"to rise"	"to go up, to ascend"	""
"上市"	"shàngshì"	"6"	"to hit the market (of a new product)"	"to float (a company on the stock market)"	""
"述"	"shu4"	"6"	"to state"	"to tell, to narrate, to relate"	"上述 (shàngshù)"
"上述"	"shàngshù"	"6"	"aforementioned"	"above-mentioned"	""
"上台"	"shàngtái"	"6"	"to rise to power (in politics)"	"to go on stage (in the theater)"	""
"上頭"	"shàngtou"	"6"	"(of alcohol) to go to one's head"	"(old) (of a bride-to-be) to bind one's hair into a bun, (of a prostitute) to receive a patron for the first time, above, on top of, on the surface of"	""
"上下"	"shàngxià"	"6"	"up and down"	"top and bottom, old and new, length, about"	""
"上游"	"shàngyóu"	"6"	"upper reaches (of a river)"	"upper level, upper echelon, upstream"	""
"稍"	"shāo"	"6"	"somewhat"	"a little, see 稍息[shao4 xi1]"	""
"稍微"	"shāowéi"	"6"	"a little bit"	""	""
"少數"	"shăoshù"	"6"	"small number"	"few, minority"	""
"少年"	"shàonián"	"6"	"early youth"	"youngster, (literary) youth, young man"	""
"少女"	"shàonǚ"	"6"	"girl"	"young lady"	""
"舌"	"she2"	"6"	"tongue"	""	"舌頭 (shétou)"
"舌頭"	"shétou"	"6"	"tongue"	"CL:個|个[ge4], enemy soldier captured for the purpose of extracting information"	""
"捨"	"she3 she4"	"6"	"to give up"	"to abandon, to give alms, surname She, old variant of 捨|舍[she3], residence"	"捨不得 (shěbùde)"
"捨不得"	"shěbùde"	"6"	"to hate to do sth"	"to hate to part with, to begrudge"	""
"捨得"	"shěde"	"6"	"to be willing to part with sth"	""	""
"社會"	"shèhuì"	"6"	"society"	"CL:個|个[ge4]"	""
"社交"	"shèjiāo"	"6"	"interaction"	"social contact"	""
"社團"	"shètuán"	"6"	"association"	"society, group, union, club, organization"	""
"設立"	"shèlì"	"6"	"to set up"	"to establish"	""
"設置"	"shèzhì"	"6"	"to set up"	"to install"	""
"攝"	"she4"	"6"	"to take in"	"to absorb, to assimilate, to act for, to take a photo, photo shoot, photo, to conserve (one's health)"	"攝影 (shèyĭng)"
"攝影"	"shèyĭng"	"6"	"to take a photograph"	"photography, to shoot (a movie)"	""
"申"	"shen1"	"6"	"old name for Shanghai 上海[Shang4 hai3]"	"surname Shen, to extend, to state, to explain, 9th earthly branch: 3-5 p.m., 7th solar month (7th August-7th September), year of the Monkey, ancient Chinese compass point: 240°"	"申請 (shēnqĭng)"
"申請"	"shēnqĭng"	"6"	"to apply for sth"	"application (form etc), CL:份[fen4]"	""
"伸"	"shēn"	"6"	"to stretch"	"to extend"	""
"伸手"	"shēnshŏu"	"6"	"to reach out with one's hand"	"to hold out a hand, (fig.) to beg, to get involved, to meddle"	""
"身材"	"shēncái"	"6"	"stature"	"build (height and weight), figure"	""
"身分"	"shēnfèn"	"6"	"variant of 身份"	"identity, status, capacity, dignity, position, rank"	""
"身分證"	"shēnfènzhèng"	"6"	"identity card"	"also written 身份證|身份证[shen1 fen4 zheng4]"	""
"深刻"	"shēnkè"	"6"	"profound"	"deep, deep-going"	""
"深淺"	"shēnqiăn"	"6"	"deep or shallow"	"depth (of the sea), limits of decorum"	""
"深夜"	"shēnyè"	"6"	"very late at night"	""	""
"神話"	"shénhuà"	"6"	"legend"	"fairy tale, myth, mythology"	""
"神經"	"shénjīng"	"6"	"nerve"	"mental state, (coll.) unhinged, nutjob"	""
"神秘"	"shénmì"	"6"	"mysterious"	"mystery"	""
"神奇"	"shénqí"	"6"	"magical"	"mystical, miraculous"	""
"神氣"	"shénqì"	"6"	"expression"	"manner, vigorous, impressive, lofty, pretentious"	""
"聖"	"sheng4"	"6"	"holy"	"sacred, saint, sage"	"神聖 (shénshèng)"
"神聖"	"shénshèng"	"6"	"divine"	"hallow, holy, sacred"	""
"仙"	"xian1"	"6"	"variant of 仙[xian1]"	""	"神仙 (shénxiān)"
"神仙"	"shénxiān"	"6"	"Daoist immortal"	"supernatural entity, (in modern fiction) fairy, elf, leprechaun etc, fig. lighthearted person"	""
"審"	"shen3"	"6"	"to examine"	"to investigate, carefully, to try (in court)"	"審查 (shěnchá)"
"審查"	"shěnchá"	"6"	"to examine"	"to investigate, to censor out, censorship"	""
"慎"	"shen4"	"6"	"old variant of 慎[shen4]"	""	"慎重 (shènzhòng)"
"慎重"	"shènzhòng"	"6"	"cautious"	"careful, prudent"	""
"升高"	"shēnggāo"	"6"	"to raise"	"to ascend"	""
"升級"	"shēngjí"	"6"	"to escalate (in intensity)"	"to go up by one grade, to be promoted, to upgrade (computing)"	""
"升學"	"shēngxué"	"6"	"to enter the next grade school"	""	""
"生存"	"shēngcún"	"6"	"to exist"	"to survive"	""
"肖"	"xiao1 xiao4"	"6"	"surname Xiao"	"Taiwan pr. [Xiao4], similar, resembling, to resemble, to be like"	"生肖 (shēngxiào)"
"生肖"	"shēngxiào"	"6"	"one of the twelve animals symbolic of the earthly branches 地支[di4 zhi1]"	"animal from the Chinese zodiac"	""
"生長"	"shēngzhăng"	"6"	"to grow"	""	""
"繩"	"shéng"	"6"	"rope"	"CL:根[gen1]"	""
"省得"	"shěngde"	"6"	"to avoid"	"so as to save (money or time)"	""
"勝"	"shèng"	"6"	"victory"	"success, to beat, to defeat, to surpass, victorious, superior to, to get the better of, better than, surpassing, superb (of vista), beautiful (scenery), wonderful (view), (Taiwan pr. [sheng1]) able to bear, equal to (a task)"	""
