"Pinyin","AllWords","Definitions"
"měng","猛","猛 ferocious, fierce, violent, brave, suddenly, abrupt, (slang) awesome"
"mèngdào","夢到","夢到 "
"mèngxiǎng","夢想","夢想 (fig.) to dream of, dream"
"míhu","迷糊","迷糊 muddle-headed, dazed, only half conscious"
"míshī","迷失","迷失 to lose (one's bearings), to get lost"
"míxìn","迷信","迷信 superstition, to have a superstitious belief (in sth)"
"mìfēng","蜜蜂","蜜蜂 bee, honeybee, CL:隻|只[zhi1],群[qun2]"
"mián","棉","棉 generic term for cotton or kapok, cotton, padded or quilted with cotton"
"miánbèi","棉被","棉被 comforter, quilt, CL:條|条[tiao2],面[mian4]"
"miánhua","棉花","棉花 cotton"
"miǎnde","免得","免得 so as not to, so as to avoid"
"miǎnqiǎng","勉強","勉強 to do with difficulty, to force sb to do sth, reluctant, barely enough"
"miànduì","面對","面對 to confront, to face"
"miànlín","面臨","面臨 to face sth, to be confronted with"
"miànmào","面貌","面貌 appearance, face, features, CL:個|个[ge4]"
"miànzi","面子","面子 outer surface, outside, honor, reputation, face (as in ""losing face""), self-respect, feelings, (medicinal) powder"
"miànfěn","麵粉","麵粉 flour"
"mièwáng","滅亡","滅亡 to be destroyed, to become extinct, to perish, to die out, to destroy, to exterminate"
"mínjiān","民間","民間 among the people, popular, folk, non-governmental, involving people rather than governments"
"mínyáo","民謠","民謠 ballad, folk song"
"mínzhòng","民眾","民眾 populace, masses, the people"
"mínzhǔ","民主","民主 democracy"
"míngchēng","名稱","名稱 name (of a thing), name (of an organization)"
"míngdān","名單","名單 list (of names)"
"míngpái","名牌","名牌 famous brand"
"míngpiàn","名片","名片 (business) card"
"míngliàng","明亮","明亮 bright, shining, glittering, to become clear"
"míngmíng","明明","明明 obviously, plainly, undoubtedly, definitely"
"míngquè","明確","明確 clear-cut, definite, explicit, to clarify, to specify, to make definite"
"mìnglìng","命令","命令 order, command, CL:道[dao4],個|个[ge4]"
"mìngyùn","命運","命運 fate, destiny, CL:個|个[ge4]"
"mó","磨","磨 to rub, to grind, to polish, to sharpen, to wear down, to die out, to waste time, to pester, to insist, grindstone, to grind, to turn round"
"mófǎng","模仿","模仿 to imitate, to copy, to emulate, to mimic, model"
"móhú","模糊","模糊 vague, indistinct, fuzzy"
"móxíng","模型","模型 model, mold, matrix, pattern"
"móyàng","模樣","模樣 look, style, appearance, approximation, about, also pr. [mo2 yang4], CL:個|个[ge4]"
"mǒ","抹","抹 to wipe, to smear, to wipe, to erase, classifier for wisps of cloud, light-beams etc, to plaster, to go around, to skirt"
"mùbiāo","目標","目標 target, goal, objective, CL:個|个[ge4]"
"mùdìdì","目的地","目的地 destination (location)"
"mùlù","目錄","目錄 catalog, table of contents, directory (on computer hard drive), list, contents"
"nǎpà","哪怕","哪怕 even, even if, even though, no matter how"
"nǎifěn","奶粉","奶粉 powdered milk"
"nàiyòng","耐用","耐用 durable"
"nándào","難道","難道 don't tell me ..., could it be that...?"
"nándé","難得","難得 seldom, rare, hard to come by"
"nánshòu","難受","難受 to feel unwell, to suffer pain, to be difficult to bear"
"nányǐ","難以","難以 hard to (predict, imagine etc)"
"nánxìng","男性","男性 the male sex, a male"
"nǎodai","腦袋","腦袋 head, skull, brains, mental capability, CL:顆|颗[ke1],個|个[ge4]"
"nǎojīn","腦筋","腦筋 brains, mind, head, way of thinking"
"nàoqū","鬧區","鬧區 downtown"
"nèibù","內部","內部 interior, inside (part, section), internal"
"nèidì","內地","內地 mainland China (PRC excluding Hong Kong and Macau, but including islands such as Hainan), Japan (used in Taiwan during Japanese colonization), inland, interior, hinterland"
"nèiháng","內行","內行 expert, adept, experienced, an expert, a professional"
"nèikē","內科","內科 internal medicine, general medicine"
"nénggàn","能幹","能幹 capable, competent"
"néngyuán","能源","能源 energy, power source, CL:個|个[ge4]"
"ní","泥","泥 mud, clay, paste, pulp, restrained"
"nítǔ","泥土","泥土 earth, soil, mud, clay"
"nián","黏","黏 sticky, glutinous, (Tw) to adhere, to stick on, to glue"
"niào","尿","尿 to urinate, urine, CL:泡[pao1], see 尿[niao4]"
"niē","捏","捏 to pinch (with one's fingers), to knead, to make up, variant of 捏[nie1]"
"níngkě","寧可","寧可 preferably, one would prefer to...(or not to...), would rather, (would) be better to, (to pick) the lesser of two evils"
"níngyuàn","寧願","寧願 would rather, better"
"niǔkòu","鈕扣","鈕扣 "
"nóngchǎng","農場","農場 farm"
"nóngchǎnpǐn","農產品","農產品 agricultural produce"
"nóngcūn","農村","農村 rural area, village, CL:個|个[ge4]"
"nóngmín","農民","農民 peasant, farmer, CL:個|个[ge4]"
"nóngyào","農藥","農藥 agricultural chemical, farm chemical, pesticide"
"nóng","濃","濃 concentrated, dense, strong (smell etc)"
"nónghòu","濃厚","濃厚 dense, thick (fog, clouds etc), to have a strong interest in, deep, fully saturated (color)"
"nuǎnqì","暖氣","暖氣 central heating, heater, warm air"
"nǚxìng","女性","女性 woman, the female sex"
"ǒurán","偶然","偶然 incidentally, occasional, occasionally, by chance, randomly"
"páichì","排斥","排斥 to reject, to exclude, to eliminate, to remove, to repel"
"páiliè","排列","排列 to arrange in order, (math.) permutation"
"páiqiú","排球","排球 volleyball, CL:個|个[ge4]"
"pài","派","派 clique, school, group, faction, to dispatch, to send, to assign, to appoint, pi (Greek letter Ππ), the circular ratio pi = 3.1415926, (loanword) pie"
"pān","攀","攀 to climb (by pulling oneself up), to implicate, to claim connections of higher status"
"pànduàn","判斷","判斷 to judge, to determine, judgment"
"pào","泡, 砲","泡 puffed, swollen, spongy, small lake (esp. in place names), classifier for urine or feces, bubble, foam, blister (i.e. skin bubble), to soak, to steep, to infuse, to dawdle, to shilly-shally, to hang about, to pick up (a girl), to get off with (a sexual partner), classifier for occurrences of an action, classifier for number of infusions
砲 variant of 炮[pao4]"
"péicháng","賠償","賠償 to compensate"
"péitóng","陪同","陪同 to accompany"
"pèifu","佩服","佩服 to admire"
"pēn","噴","噴 to puff, to spout, to spray, to spurt, (of a smell) strong, peak season (of a crop), (classifier for the ordinal number of a crop, in the context of multiple harvests)"
"péngzhàng","膨脹","膨脹 to expand, to inflate, to swell"
"pěng","捧","捧 to clasp, to cup the hands, to hold up with both hands, to offer (esp. in cupped hands), to praise, to flatter"
"pèngjiàn","碰見","碰見 to run into, to meet (unexpectedly), to bump into"
"pī","匹, 披","匹 mate, one of a pair, classifier for horses, mules etc, Taiwan pr. [pi1], ordinary person, classifier for cloth: bolt, horsepower, classifier for cloth: bolt, variant of 匹[pi3]
披 to drape over one's shoulders, to open, to unroll, to split open, to spread out"
"pīpàn","批判","批判 to criticize, critique, CL:個|个[ge4]"
"píjuàn","疲倦","疲倦 to tire, tired"
"píláo","疲勞","疲勞 fatigue, wearily, weariness, weary"
"píqi","脾氣","脾氣 character, temperament, disposition, bad temper, CL:個|个[ge4]"
"pìgu","屁股","屁股 buttocks, bottom, butt, back part"
"piānshí","偏食","偏食 partial to (some kinds of food, usu. unhealthy), having likes and dislikes, partial eclipse"
"piānxiàng","偏向","偏向 partial towards sth, to prefer, to incline, erroneous tendencies (Leftist or Revisionist deviation)"
"piànmiàn","片面","片面 unilateral, one-sided"
"piāo","飄","飄 to float"
"pīnmìng","拼命","拼命 to do one's utmost, with all one's might, at all costs, (to work or fight) as if one's life depends on it"
"pínqióng","貧窮","貧窮 poor, impoverished"
"pǐndé","品德","品德 moral character"
"pìnqǐng","聘請","聘請 to engage, to hire (a lawyer etc)"
"pínghéng","平衡","平衡 balance, equilibrium"
"píngjìng","平靜","平靜 tranquil, undisturbed, serene"
"píngjūn","平均","平均 average, on average, evenly, in equal proportions"
"pópo","婆婆","婆婆 husband's mother, mother-in-law, grandma"
"pǒ","頗","頗 Taiwan pr. [Po3], rather, quite, considerably, oblique, inclined, slanting, Taiwan pr. [po3], surname Po"
"pòlàn","破爛","破爛 worn-out, rotten, dilapidated, tattered, ragged, rubbish, junk"
"pòliè","破裂","破裂 to rupture, to fracture, to break down, (linguistics) plosion"
"pòqiè","迫切","迫切 urgent, pressing"
"pū","撲, 鋪","撲 to throw oneself at, to pounce on, to devote one's energies, to flap, to flutter, to dab, to pat, to bend over
鋪 to spread, to display, to set up, (old) holder for door-knocker, plank bed, place to sleep, shop, store, (old) relay station"
"pūmiè","撲滅","撲滅 to eradicate, to extinguish"
"pǔjí","普及","普及 to spread extensively, to generalize, widespread, popular, universal, ubiquitous, pervasive"
"pǔtōng","普通","普通 common, ordinary, general, average"
"pǔtōnghuà","普通話","普通話 Mandarin (common language), Putonghua (common speech of the Chinese language), ordinary speech"
"pùbù","瀑布","瀑布 waterfall"
"qīpiàn","欺騙","欺騙 to deceive, to cheat"
"qīzǐ","妻子","妻子 wife and children, wife, CL:個|个[ge4]"
"qíxiàn","期限","期限 time limit, deadline, allotted time"
"qíyú","其餘","其餘 the rest, the others, remaining, remainder, apart from them"
"qíquán","齊全","齊全 complete, comprehensive"
"qípáo","旗袍","旗袍 Chinese-style dress, cheongsam"
"qízi","旗子","旗子 flag, banner, CL:面[mian4]"
"qíshì","歧視","歧視 to discriminate against, discrimination"
"qǐchū","起初","起初 originally, at first, at the outset"
"qǐhuǒ","起火","起火 to catch fire, to cook, to get angry"
"qìtú","企圖","企圖 to attempt, to try, attempt, CL:種|种[zhong3]"
"qìyóu","汽油","汽油 gasoline"
"qìcái","器材","器材 equipment, material"
"qìguān","器官","器官 organ (part of body tissue), apparatus"
"qìfēn","氣氛","氣氛 atmosphere, mood"
"qìfèn","氣憤","氣憤 indignant, furious"
"qìhòu","氣候","氣候 climate, atmosphere, situation, CL:種|种[zhong3]"
"qìwèi","氣味","氣味 odor, scent"
"qìxí","氣息","氣息 breath, smell, odor, flavor"
"qìxiàng","氣象","氣象 meteorological feature, meteorology, atmosphere, ambience, scene, CL:個|个[ge4]"
"qiānwàn","千萬","千萬 ten million, countless, many, one must by all means"
"qiāndìng","簽訂","簽訂 to agree to and sign (a treaty etc)"
"qiānyuē","簽約","簽約 to sign a contract or agreement"
"qiānzì","簽字","簽字 to sign (one's name), signature"
"qiánfāng","前方","前方 ahead, the front"
"qiánjìn","前進","前進 to go forward, to forge ahead, to advance, onward"
"qiántou","前頭","前頭 in front, at the head, ahead, above"
"qiántú","前途","前途 prospects, future outlook, journey"
"qiánwǎng","前往","前往 to leave for, to proceed towards, to go"
"qiányuàn","前院","前院 front courtyard, front yard"
"qiàn","欠","欠 deficient, to owe, to lack, yawn"
"qiànyì","歉意","歉意 apology, regret"
"qiāng","槍","槍 gun, firearm, rifle, spear, thing with shape or function similar to a gun, to substitute for another person in a test, to knock, classifier for rifle shots, surname Qiang, CL:支[zhi1],把[ba3],桿|杆[gan3],條|条[tiao2],枝[zhi1]"
"qiángdà","強大","強大 large, formidable, powerful, strong"
"qiángdù","強度","強度 strength, intensity, CL:個|个[ge4]"
"qiángliè","強烈","強烈 intense, (violently) strong"
"qiángrén","強人","強人 "
"qiángbì","牆壁","牆壁 wall"
"qiǎngpò","強迫","強迫 to compel, to force"
"qiǎngjiù","搶救","搶救 to rescue"
"qiāo","敲","敲 to hit, to strike, to tap, to rap, to knock, to rip sb off, to overcharge"
"qiǎomiào","巧妙","巧妙 ingenious, clever, ingenuity, artifice"
"qiǎoqiǎo","悄悄","悄悄 quietly, secretly, stealthily, quiet, worried, Taiwan pr. [qiao3 qiao3]"
"qīnài","親愛","親愛 dear, beloved, darling"
"qīnkǒu","親口","親口 one's own mouth, fig. in one's own words, to say sth personally"
"qīnqī","親戚","親戚 a relative (i.e. family relation), CL:門|门[men2],個|个[ge4],位[wei4]"
"qīnrén","親人","親人 one's close relatives"
"qīnhài","侵害","侵害 to encroach on, to infringe on"
"qīnrù","侵入","侵入 to make (military) incursions, to invade, to intrude into, to trespass, to gain unauthorized access (computing)"
"qínláo","勤勞","勤勞 hardworking, industrious, diligent"
"qǐnshì","寢室","寢室 bedroom, dormitory, CL:間|间[jian1]"
"qīngchén","清晨","清晨 early morning"
"qīngchú","清除","清除 to clear away, to eliminate, to get rid of"
"qīngdàn","清淡","清淡 light (of food, not greasy or strongly flavored), insipid, slack (sales)"
"qīngxī","清晰","清晰 clear, distinct"
"qīngxǐng","清醒","清醒 clear-headed, sober, awake"
"qīngshāng","輕傷","輕傷 lightly wounded, minor injuries"
"qīngshì","輕視","輕視 contempt, contemptuous, to despise, to scorn, scornful"
"qīngxiàng","傾向","傾向 trend, tendency, orientation"
"qíngshū","情書","情書 love letter"
"qíngxù","情緒","情緒 mood, state of mind, moodiness, CL:種|种[zhong3]"
"qiūjì","秋季","秋季 autumn, fall"
"qiúhūn","求婚","求婚 to propose marriage"
"qiúduì","球隊","球隊 sports team (basketball, soccer, football etc)"
"qiúxié","球鞋","球鞋 athletic shoes"
"qūzhé","曲折","曲折 winding, (fig.) complicated"
"qūbié","區別","區別 difference, to distinguish, to discriminate, to make a distinction, CL:個|个[ge4]"
"qūyù","區域","區域 area, region, district"
"qǔdé","取得","取得 to acquire, to get, to obtain"
"qǔxiào","取笑","取笑 to tease, to make fun of"
"qǔxiāo","取消","取消 to cancel, cancellation"
